iter	Passed	Remaining
0	143	142903
1	144	71882
2	145	48215
3	145	36351
4	146	29245
5	147	24513
6	148	21127
7	149	18590
8	151	16646
9	152	15076
10	153	13792
11	154	12722
12	155	11809
13	156	11042
14	157	10358
15	158	9770
16	159	9246
17	160	8779
18	161	8361
19	162	7983
20	164	7647
21	165	7368
22	167	7103
23	168	6850
24	169	6613
25	170	6392
26	171	6185
27	172	5995
28	173	5816
29	174	5653
30	175	5498
31	177	5357
32	178	5222
33	179	5095
34	181	4997
35	182	4884
36	183	4776
37	184	4672
38	185	4575
39	186	4482
40	187	4392
41	188	4309
42	189	4228
43	191	4152
44	192	4080
45	193	4011
46	195	3969
47	197	3907
48	198	3845
49	199	3785
50	200	3727
51	201	3670
52	202	3616
53	203	3565
54	204	3515
55	205	3467
56	206	3420
57	207	3376
58	209	3343
59	210	3302
60	211	3260
61	212	3219
62	213	3180
63	215	3145
64	216	3110
65	217	3075
66	218	3041
67	219	3010
68	220	2979
69	222	2950
70	224	2932
71	225	2904
72	226	2875
73	227	2845
74	228	2816
75	229	2787
76	230	2761
77	231	2735
78	232	2709
79	233	2687
80	234	2663
81	235	2640
82	236	2612
83	237	2593
84	239	2577
85	240	2556
86	241	2535
87	242	2513
88	243	2493
89	244	2473
90	245	2453
91	246	2434
92	247	2415
93	248	2396
94	249	2378
95	250	2361
96	251	2343
97	253	2328
98	254	2312
99	255	2295
100	255	2278
101	256	2261
102	257	2246
103	258	2230
104	259	2215
105	260	2199
106	261	2185
107	262	2171
108	264	2158
109	265	2145
110	266	2132
111	267	2123
112	269	2112
113	270	2100
114	271	2087
115	272	2074
116	272	2059
117	273	2047
118	274	2035
119	275	2023
120	276	2011
121	277	1998
122	278	1988
123	280	1978
124	281	1972
125	283	1965
126	284	1953
127	285	1943
128	286	1932
129	287	1922
130	288	1912
131	289	1901
132	290	1892
133	291	1882
134	292	1873
135	293	1864
136	294	1855
137	296	1849
138	297	1842
139	298	1834
140	299	1825
141	300	1814
142	301	1805
143	302	1796
144	303	1787
145	304	1780
146	305	1772
147	306	1765
148	307	1757
149	308	1749
150	310	1743
151	311	1737
152	312	1730
153	313	1722
154	314	1715
155	315	1708
156	317	1702
157	318	1694
158	319	1687
159	320	1680
160	320	1671
161	321	1664
162	322	1657
163	323	1650
164	325	1646
165	326	1641
166	327	1634
167	328	1628
168	330	1622
169	331	1616
170	332	1610
171	333	1604
172	334	1597
173	335	1591
174	336	1585
175	337	1579
176	338	1573
177	340	1574
178	342	1569
179	343	1563
180	344	1558
181	345	1553
182	346	1547
183	348	1544
184	349	1539
185	350	1534
186	351	1528
187	352	1523
188	354	1520
189	355	1516
190	356	1512
191	358	1506
192	359	1502
193	360	1497
194	361	1491
195	362	1487
196	363	1481
197	364	1476
198	365	1471
199	366	1465
200	367	1460
201	369	1459
202	370	1455
203	371	1451
204	373	1448
205	374	1444
206	376	1440
207	377	1436
208	378	1431
209	379	1428
210	381	1424
211	382	1420
212	384	1419
213	385	1416
214	386	1412
215	388	1408
216	389	1403
217	389	1398
218	391	1394
219	392	1390
220	393	1385
221	393	1380
222	394	1376
223	395	1371
224	397	1368
225	398	1365
226	399	1361
227	400	1357
228	401	1352
229	403	1349
230	403	1344
231	404	1340
232	405	1336
233	406	1332
234	408	1328
235	409	1324
236	410	1320
237	411	1316
238	412	1314
239	414	1311
240	415	1308
241	416	1304
242	417	1300
243	418	1296
244	419	1292
245	420	1289
246	421	1285
247	422	1281
248	423	1277
249	424	1273
250	425	1271
251	427	1269
252	428	1266
253	429	1262
254	430	1258
255	432	1256
256	433	1253
257	434	1249
258	435	1246
259	436	1242
260	437	1239
261	438	1235
262	439	1232
263	441	1230
264	442	1227
265	443	1224
266	444	1221
267	445	1217
268	446	1214
269	447	1210
270	448	1206
271	449	1203
272	450	1199
273	451	1196
274	452	1192
275	453	1190
276	454	1187
277	456	1185
278	458	1183
279	459	1180
280	460	1177
281	461	1174
282	462	1171
283	463	1167
284	464	1164
285	465	1161
286	466	1158
287	467	1155
288	468	1152
289	469	1150
290	471	1148
291	472	1145
292	473	1142
293	474	1139
294	475	1136
295	476	1133
296	477	1130
297	478	1127
298	479	1124
299	480	1121
300	481	1118
301	482	1116
302	483	1113
303	485	1112
304	487	1109
305	488	1106
306	489	1104
307	490	1101
308	491	1098
309	492	1095
310	493	1092
311	494	1089
312	495	1087
313	496	1084
314	497	1081
315	498	1078
316	500	1077
317	501	1075
318	502	1073
319	503	1070
320	504	1068
321	506	1067
322	508	1065
323	509	1063
324	511	1061
325	512	1058
326	514	1057
327	517	1059
328	518	1056
329	519	1054
330	520	1051
331	521	1048
332	522	1046
333	523	1043
334	554	1100
335	557	1102
336	559	1100
337	560	1097
338	561	1094
339	563	1093
340	564	1090
341	565	1087
342	566	1085
343	567	1082
344	569	1080
345	573	1084
346	577	1087
347	579	1085
348	594	1109
349	595	1106
350	596	1103
351	597	1100
352	598	1097
353	599	1094
354	600	1091
355	601	1088
356	602	1085
357	603	1082
358	604	1079
359	605	1076
360	606	1074
361	609	1074
362	610	1072
363	612	1069
364	613	1066
365	614	1063
366	615	1061
367	616	1058
368	617	1055
369	618	1052
370	619	1049
371	619	1046
372	621	1044
373	623	1043
374	624	1041
375	626	1038
376	627	1036
377	628	1033
378	629	1030
379	630	1028
380	631	1025
381	632	1022
382	633	1019
383	634	1017
384	635	1014
385	637	1013
386	638	1011
387	639	1009
388	640	1006
389	641	1003
390	642	1001
391	643	998
392	644	995
393	645	993
394	646	990
395	647	987
396	648	985
397	649	982
398	651	981
399	653	980
400	654	977
401	655	975
402	656	972
403	657	970
404	658	967
405	659	965
406	660	962
407	661	959
408	662	957
409	663	954
410	664	952
411	667	952
412	668	950
413	669	947
414	670	945
415	671	943
416	672	940
417	673	938
418	674	935
419	675	933
420	676	930
421	677	928
422	678	925
423	679	923
424	682	922
425	683	920
426	684	918
427	685	915
428	686	913
429	687	911
430	688	908
431	689	906
432	690	904
433	691	901
434	692	899
435	693	897
436	695	896
437	696	894
438	700	894
439	701	892
440	702	889
441	703	887
442	704	885
443	705	883
444	706	880
445	707	878
446	708	876
447	709	874
448	711	873
449	712	871
450	713	869
451	714	866
452	715	864
453	716	862
454	717	859
455	719	857
456	720	855
457	721	853
458	722	851
459	723	849
460	725	847
461	726	845
462	727	843
463	728	841
464	729	839
465	730	837
466	731	835
467	733	833
468	734	831
469	735	829
470	736	827
471	737	824
472	739	823
473	741	822
474	742	820
475	743	817
476	744	815
477	745	813
478	746	812
479	748	810
480	749	808
481	750	806
482	752	805
483	754	804
484	755	802
485	756	800
486	758	798
487	759	796
488	760	794
489	761	792
490	762	790
491	763	788
492	764	786
493	765	783
494	766	781
495	767	779
496	769	778
497	770	776
498	771	774
499	772	772
500	773	770
501	774	768
502	775	766
503	776	764
504	777	762
505	778	760
506	779	758
507	780	756
508	782	754
509	783	753
510	784	751
511	786	749
512	787	747
513	788	745
514	789	743
515	790	741
516	791	739
517	792	737
518	793	735
519	794	733
520	795	731
521	797	729
522	798	728
523	799	726
524	800	724
525	801	722
526	802	720
527	804	718
528	805	717
529	806	715
530	807	713
531	808	711
532	809	709
533	811	707
534	812	706
535	814	704
536	815	702
537	816	701
538	817	699
539	818	697
540	819	695
541	820	693
542	821	691
543	822	689
544	823	687
545	824	685
546	826	684
547	828	683
548	829	681
549	830	679
550	831	677
551	832	675
552	833	673
553	834	671
554	835	669
555	836	667
556	837	666
557	838	664
558	840	662
559	842	661
560	843	660
561	844	658
562	845	656
563	847	654
564	848	652
565	849	651
566	850	649
567	851	647
568	852	645
569	853	643
570	854	641
571	856	641
572	858	639
573	858	637
574	859	635
575	860	633
576	861	631
577	863	630
578	864	628
579	865	626
580	866	624
581	867	622
582	868	621
583	869	619
584	871	618
585	872	616
586	873	614
587	874	612
588	875	610
589	876	609
590	877	607
591	878	605
592	880	604
593	881	602
594	882	600
595	883	598
596	886	598
597	887	596
598	888	594
599	889	593
600	890	591
601	891	589
602	892	587
603	893	586
604	895	584
605	896	582
606	897	581
607	898	579
608	901	578
609	902	576
610	903	575
611	904	573
612	905	571
613	906	569
614	907	568
615	908	566
616	909	564
617	910	563
618	911	561
619	912	559
620	914	558
621	915	556
622	916	554
623	918	553
624	919	551
625	920	549
626	921	548
627	922	546
628	923	544
629	924	543
630	926	541
631	927	540
632	929	539
633	931	537
634	932	535
635	933	534
636	934	532
637	935	531
638	937	529
639	938	527
640	939	525
641	940	524
642	941	522
643	942	520
644	943	519
645	945	517
646	946	516
647	947	514
648	948	512
649	949	511
650	950	509
651	951	508
652	952	506
653	953	504
654	955	503
655	956	501
656	957	499
657	958	498
658	960	496
659	961	495
660	962	493
661	963	491
662	964	490
663	965	488
664	966	486
665	967	485
666	968	483
667	969	482
668	970	480
669	971	478
670	973	477
671	974	475
672	975	474
673	976	472
674	977	470
675	979	469
676	980	467
677	981	466
678	982	464
679	983	462
680	984	461
681	985	459
682	986	457
683	988	456
684	989	454
685	990	453
686	991	451
687	992	450
688	993	448
689	994	446
690	995	445
691	996	443
692	997	441
693	998	440
694	1000	438
695	1001	437
696	1002	436
697	1004	434
698	1005	433
699	1006	431
700	1008	430
701	1009	428
702	1010	427
703	1011	425
704	1013	423
705	1014	422
706	1015	420
707	1017	419
708	1019	418
709	1020	416
710	1021	415
711	1023	413
712	1024	412
713	1025	410
714	1026	409
715	1027	407
716	1028	406
717	1030	404
718	1034	404
719	1036	403
720	1038	401
721	1039	400
722	1049	402
723	1050	400
724	1051	398
725	1053	397
726	1054	396
727	1056	394
728	1057	393
729	1066	394
730	1067	392
731	1069	391
732	1070	390
733	1072	388
734	1073	386
735	1074	385
736	1075	383
737	1079	383
738	1080	381
739	1081	380
740	1083	378
741	1084	377
742	1094	378
743	1096	377
744	1097	375
745	1098	374
746	1100	372
747	1102	371
748	1104	370
749	1106	368
750	1108	367
751	1112	366
752	1114	365
753	1118	364
754	1123	364
755	1126	363
756	1129	362
757	1131	361
758	1133	359
759	1134	358
760	1137	357
761	1139	356
762	1141	354
763	1143	353
764	1144	351
765	1146	350
766	1148	348
767	1151	347
768	1153	346
769	1155	345
770	1156	343
771	1158	342
772	1159	340
773	1160	338
774	1161	337
775	1163	335
776	1164	334
777	1168	333
778	1169	331
779	1172	330
780	1174	329
781	1175	327
782	1176	326
783	1178	324
784	1180	323
785	1183	322
786	1184	320
787	1186	319
788	1188	317
789	1189	316
790	1191	314
791	1192	313
792	1193	311
793	1197	310
794	1198	309
795	1200	307
796	1201	305
797	1202	304
798	1203	302
799	1205	301
800	1206	299
801	1207	298
802	1210	296
803	1212	295
804	1230	298
805	1231	296
806	1233	294
807	1234	293
808	1235	291
809	1237	290
810	1239	288
811	1242	287
812	1243	286
813	1245	284
814	1246	283
815	1248	281
816	1250	280
817	1251	278
818	1252	276
819	1254	275
820	1258	274
821	1259	272
822	1260	271
823	1261	269
824	1263	267
825	1264	266
826	1265	264
827	1266	263
828	1268	261
829	1269	259
830	1271	258
831	1274	257
832	1275	255
833	1276	254
834	1278	252
835	1279	251
836	1280	249
837	1281	247
838	1282	246
839	1284	244
840	1286	243
841	1288	241
842	1289	240
843	1290	238
844	1292	237
845	1293	235
846	1294	233
847	1295	232
848	1296	230
849	1297	228
850	1298	227
851	1300	225
852	1302	224
853	1303	222
854	1304	221
855	1305	219
856	1307	218
857	1308	216
858	1309	214
859	1310	213
860	1311	211
861	1312	210
862	1313	208
863	1315	207
864	1317	205
865	1319	204
866	1320	202
867	1321	200
868	1322	199
869	1323	197
870	1324	196
871	1325	194
872	1326	192
873	1327	191
874	1328	189
875	1330	188
876	1332	186
877	1333	185
878	1335	183
879	1336	182
880	1337	180
881	1338	179
882	1339	177
883	1340	175
884	1342	174
885	1343	172
886	1345	171
887	1347	169
888	1348	168
889	1349	166
890	1350	165
891	1351	163
892	1353	162
893	1354	160
894	1355	159
895	1356	157
896	1359	156
897	1361	154
898	1362	153
899	1363	151
900	1365	149
901	1366	148
902	1367	146
903	1368	145
904	1369	143
905	1370	142
906	1372	140
907	1373	139
908	1376	137
909	1377	136
910	1378	134
911	1379	133
912	1380	131
913	1381	130
914	1382	128
915	1384	126
916	1387	125
917	1395	124
918	1396	123
919	1397	121
920	1398	119
921	1399	118
922	1400	116
923	1402	115
924	1405	113
925	1406	112
926	1407	110
927	1408	109
928	1409	107
929	1410	106
930	1412	104
931	1413	103
932	1414	101
933	1415	100
934	1417	98
935	1418	97
936	1420	95
937	1421	93
938	1422	92
939	1423	90
940	1424	89
941	1425	87
942	1426	86
943	1427	84
944	1428	83
945	1429	81
946	1431	80
947	1433	78
948	1434	77
949	1435	75
950	1436	74
951	1438	72
952	1439	70
953	1440	69
954	1441	67
955	1442	66
956	1443	64
957	1444	63
958	1446	61
959	1449	60
960	1450	58
961	1451	57
962	1452	55
963	1453	54
964	1454	52
965	1456	51
966	1457	49
967	1458	48
968	1459	46
969	1461	45
970	1464	43
971	1465	42
972	1466	40
973	1467	39
974	1468	37
975	1469	36
976	1470	34
977	1471	33
978	1472	31
979	1473	30
980	1475	28
981	1478	27
982	1479	25
983	1480	24
984	1481	22
